UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Hulu Support,@hulu_support,2021-02-02T01:22:01.000Z,"Replying to 
@MeSunLover","Oh no — sorry about that! Mind letting us know the device you're streaming from? Are you seeing that error when launching our Hulu app/site or during playback? Is the error present while trying to watch a specific show/episode? In the meantime, try: https://hulu.tv/PlaybackHelp-!",,2,,,['https://pbs.twimg.com/card_img/1364671035803635713/rrzOa96l?format=png&name=120x120'],https://twitter.com/hulu_support/status/1356412524908978180
Laura Lamos,@laulam1,2021-02-02T00:42:51.000Z,"@hulu_support
  I am in Tucson and NBC has been glitchy all day long.  The buffering is the main issue.  Any updates on this?  All other channels are ok, only NBC is affected.",,,1,,,[],https://twitter.com/laulam1/status/1356402668730675201
Isaac,@shotbyisaac,2021-02-02T00:40:45.000Z,"Replying to 
@hulu_support","Not sure what you mean by that. I’m trying to change my password. I got an email that someone has logged in, so I want to reset my password but I keep getting this error message.",,1,,,[],https://twitter.com/shotbyisaac/status/1356402138340061184
Kiley Newbold,@KileyG,2021-02-02T00:04:06.000Z,"Replying to 
@hulu_support","Yes, we’ve tried all this. The issue is that we had a Hulu account prior to this as well.",,1,,,[],https://twitter.com/KileyG/status/1356392916000804864
Hulu Support,@hulu_support,2021-02-02T00:00:49.000Z,"Replying to 
@KileyG","Sorry to hear about all the back and forth! To clarify, are you receiving an error when trying to activate Hulu? If so, you may need to take additional steps. Try checking out this link: https://verizon.com/support/disney-faqs/#signup-app… for more info. We hope this helps!",,1,,,[],https://twitter.com/hulu_support/status/1356392090746388481
Fire Storm Fox,@FireStormFox1,2021-02-02T00:00:49.000Z,"Replying to 
@Cqsmix
 and 
@thedelitesite","Hulu is better in some ways, netflix has an issue with never finishing anything, like hunter x hunter",,2,,8,[],https://twitter.com/FireStormFox1/status/1356392090012418048
"J to the Bizzo, M to the PH",@jberr15,2021-02-03T23:36:20.000Z,"Replying to 
@hulu_support",I did all that! The only time I have this issue with Hulu on my home network with CenturyLink...,,2,,,[],https://twitter.com/jberr15/status/1357110705305104386
PJ@WearADamnMask,PJ@WearADamnMask,2021-02-03T23:08:53.000Z,"I CUT THE CABLE CORD. 
I have 
@Hulu
 Live for TV. It FREEZES A LOT. Does anyone have this issue ? 
I have the HIGHEST 
@verizonfios
 SPEED for my computers & tv.  Even 
@CBS
 isn’t great. 
Now the price has risen. It’s VERY close to the cable price!
Suggestions for other Streaming?",,😷,6,,4,[],https://twitter.com/PJM143/status/1357103796070014976
Steve LaPaglia,@steve_lapaglia,2021-02-03T21:22:36.000Z,Hulu error rununk13....all day....boy do I hate Hulu,,,1,,,[],https://twitter.com/steve_lapaglia/status/1357077048318185479
Shawn Edwards,@MrEdwardsAP,2021-02-03T20:58:18.000Z,"Replying to 
@chipjenkins5
 and 
@AdamtheBullFAN",The issue with Hulu and Fox Sports has certainly made it difficult this year. Haven’t seen a single Blue Jackets or Cavs game.,,1,,1,[],https://twitter.com/MrEdwardsAP/status/1357070935019450368
Jeremy Judkins,@jeremyjudkins,2021-02-03T14:14:08.000Z,"I had this issue a lot when I had my Chevy Volt. Like it was hit or miss if it would work. Frustrating... sometimes music wouldn't work.

Having a really good UI just built into my Tesla is amazing. It has everything I need. Music, GPS, etc.

Not to mention games, Netflix, Hulu.","Quote Tweet
Brian MacDuff
@BMACadelic
 · Feb 3
What's one piece of technology that you always get frustrated using? 
For me, it's usually the connection between my iPhone and my car for CarPlay. The chord only works when it wants to - no matter what chord I use! ",😡 🤬,1,,5,['https://pbs.twimg.com/profile_images/1330680834697924608/7HD5B7_o_mini.jpg'],https://twitter.com/jeremyjudkins/status/1356969221515849728
D. Carson Davis,@DaronCDavis,2021-02-03T13:32:49.000Z,"For the last several days our streaming has been very glitchy. Pauses, reboots, stalls. I can't tell if it's a 
@comcastcares
, 
@comcast
, 
@Xfinity
 issue or a 
@Roku
 issue. It happens on different services. 
@disneyplus
, 
@PBSKIDS
, 
@hulu_support
. Is anyone having issues?",,,2,,,[],https://twitter.com/DaronCDavis/status/1356958824859660291
"J to the Bizzo, M to the PH",@jberr15,2021-02-03T10:37:52.000Z,"@hulu
 sooo is there a problem with CenturyLink still? Because I can’t watch Hulu on any of my devices on my home network, annnd your customer service nor is #centurylink offering any feedback? It’s been 2 weeks that I’ve had this issue...",,,1,,,[],https://twitter.com/jberr15/status/1356914796369698817
Hulu Support,@hulu_support,2021-02-03T05:43:07.000Z,"Replying to 
@mauvegone","Hulu here! If you're running into difficulty, we recommend trying: https://hulu.tv/WebHelp-. If the issue persists, don't hesitate to call or chat and we'll assist further (https://hulu.tv/ContactSupport-). Just follow the prompts, then select ""I still need help"".",,,,1,['https://pbs.twimg.com/card_img/1364671035803635713/rrzOa96l?format=png&name=120x120'],https://twitter.com/hulu_support/status/1356840619063341056
Gail Turley,@AuntInAZ,2021-02-03T05:12:36.000Z,"Replying to 
@hulu_support","Its streaming. It happens with the living room TV as well, and a relative in another household with a different Internet provider has similar issues. 

No, there are no error messages.",,1,,,[],https://twitter.com/AuntInAZ/status/1356832941809168384
Joel,@joelvan,2021-02-03T04:08:40.000Z,"@kellycampbell
 @hulu_support
 @hulu
How difficult is it to finally fix the volume with the ads? It's literally been a 10 year issue. It makes the service unwatchable",,,1,,,[],https://twitter.com/joelvan/status/1356816851196665858
DMC∞,@daniishaa0817,2021-02-03T02:52:11.000Z,"Replying to 
@hulu_support","I'll tell you that I can't access it yet. I still appear fastly error unknown domain error. I've even taken the steps in the help icon and it doesn't work in favour. fix that because truthfully, so much money that I pay, and it's not possible that I don't have a good service.",♥,,,,[],https://twitter.com/daniishaa0817/status/1356797602608648192
Evan Feringa,@CycleTheStates,2021-02-03T02:22:44.000Z,"@hulu_support
 I would like to leave feedback.  I often travel around the US and because I have Hulu Live I am unable to connect to TVs and have to use my phone to watch Hulu.  I learned that this is because of Hulu Live and if I didn't have Hulu Live I wouldn't have this issue.",,,2,,,[],https://twitter.com/CycleTheStates/status/1356790193492271104
Hulu Support,@hulu_support,2021-02-04T23:40:28.000Z,"Replying to 
@ThomasRogers18","Sorry for any trouble, Thomas! Mind elaborating on what you're coming across? Are you seeing any error messages? Is your local CBS affiliate available in your location via Hulu? We suggest checking here: https://hulu.tv/MyChannels. We'll be standing by for your response!",,1,,,['https://pbs.twimg.com/card_img/1364632653702582273/bf0QmBux?format=jpg&name=360x360'],https://twitter.com/hulu_support/status/1357474133198659592
Rebecca Ferguson,@Rebecca08858702,2021-02-04T22:13:47.000Z,We have several. I have never gotten that message. I do know that older Roku model will not play Hulu or Pandora. I would check your internet provider to see how much band width you have. If it’s not enough sometimes you get error messages that don’t make sense.,"Quote Tweet
𝓢𝓾𝓼𝓪𝓷 𝓖𝓻𝓮𝓮𝓻
@sunsetsue2
 · Feb 4
Do any of you awesome folks have Roku?  I have an issue.",💦 💦,2,,1,['https://pbs.twimg.com/profile_images/378800000135565524/5adfc6c2a89c70740dac70c9cd686077_mini.jpeg'],https://twitter.com/Rebecca08858702/status/1357452319567265793
ixa,@1xabe11,2021-02-04T20:52:50.000Z,"Replying to 
@4j2a0x","ikkkk i use tubi and i like it, but it’s a recurring issue where the last 10-20 movies i rlly wanted to watch were either on hbo max, amazon or premium hulu n i only have the basic subscription lol",🧸 🖤,,,,[],https://twitter.com/1xabe11/status/1357431945026670592
Tom,@TomW1ckert,2021-02-04T18:48:31.000Z,"Replying to 
@dariusdoug
 and 
@hulu",welcome to Sinclair Broadcasting nightmares.  had the same issue with watching the Crew this fall,,1,,,[],https://twitter.com/TomW1ckert/status/1357400661542002689
N A T,@NathalieCruz_,2021-02-04T17:55:13.000Z,"Replying to 
@hulu_support",It shows the error message then keeps signing me out of my account,,1,,,[],https://twitter.com/NathalieCruz_/status/1357387247461355520
